;Lidsky citelna manualne vytvorena tabulka mereni.
;Pro vytvoreni grafu nutno zavolat make plot v tomto nebo nadrizenem adresari.
;cpu    inf/eth     inst1-5-5-5     inst1-6-21-6    inst1-7-7-7     inst2-7-8-7
1       inf         0.110000        194.980000      432.440000      691.190000
1       eth         0.110000        194.980000      432.440000      691.190000
2       inf         0.036481        149.968197      324.879038      377.669561
2       eth         0.055941        134.387703      444.103666      377.578397
4       inf         0.037834         94.876807      142.914963      201.658652
4       eth         0.191335        102.309955      252.756211      203.197818
8       inf         0.097062         26.907126      100.438784       91.297422
8       eth         0.040228         27.287537      101.153941       91.676875
16      inf         0.236722         12.459078       18.590207       45.867361
16      eth         3.029999         15.359789       18.734830       49.243960
24      inf         0.208083          8.560398       18.133162       30.233490
24      eth         6.055791          8.514845       18.471524       33.701507
32      inf         0.655851          7.043060       11.802244       23.230562
32      eth         3.047029         12.452859       12.768498       23.373461
